Designator,Mid X,Mid Y,Layer,Rotation
IC2, 7.62,40.64,Bottom,90.0
IC4, 7.62,73.66,Bottom,90.0
OTA2,19.05,36.83,Bottom,90.0
U$1,19.05,60.96,Bottom,270.0
